sep=; 
Nombre;Año de concurso;Certamen;Edad al competir;Estatura;Ocupación al postular;Estado Civil al postular;Maternidad al postular;Comuna de origen;Región;Rural o Urbana;Nivel socioeconómico;IDH comunal;Colegio;Tipo de colegio
Anahí Hormazábal;2018;Miss Mundo;20;"1.75";Estudiante ingenería en comercio exterior;Soltera;No;Santiago;Metropolitana;Urbana;Medio-Alto;Medio-Alto;No se especifica ;No se especifica 
Bernardita Zúñiga;2007;Miss Mundo;24;"1.76";Estudiante de diseño industrial;Soltera;No;Viña del Mar;Valparaiso;Urbana;Medio-Alto;Alto;No se especifica ;No se especifica 
Camila Andrade;2013;Miss Mundo;22;"1.69";Modelo y figura de televisión;Soltera;No;Concepción;Bio Bio;Urbana;Medio;Muy Alto;No se especifica ;No se especifica 
Camila Recabarren;2012;Miss Mundo;21;"1.81";Estudiante de comunicación;Soltera;No;La Serena;Coquimbo;Urbana;Medio-Bajo;Medio-Alto;No se especifica pero liceo;No se especifica 
Carla Jara;2006;Miss Chile;22;"1.65";Actriz. bailarina (Mekano);Soltera;No;Santiago;Metropolitana;Urbana;Medio;Medio-Alto;No se especifica ;No se especifica 
Cecilia Amenábar;1988;Miss Chile;17;"1.74";Modelo;Soltera;No;Vitacura;Metropolitana;Urbana;Alto;Muy Alto;No se especifica ;No se especifica 
Cecilia Bolocco;1987;Miss Universo;22;"1.71";Estudiante de ingeneria civil;Soltera;No;Las Condes;Metropolitana;Urbana;Alto;Muy Alto;Santiago College;No se especifica 
Celeste Viel;2023;Miss Universo;23;"1.73";Estudiante de relaciones públicas;Soltera;No;Miami. florida;Extranjero;Urbana;Alto (desigual);No se especifica;No se especifica ;No se especifica 
Constanza Santa María;1988;Miss 17;21;"1.73";Estudiante de periodismo;Soltera;No;Vitacura;Metropolitana;Urbana;Alto;Muy Alto;No se especifica ;No se especifica 
Daniella Campos;1998;Miss Mundo;25;"1.77";Modelo;Soltera;No;Las Condes;Metropolitana;Urbana;Medio-Alto;Muy Alto;No se especifica ;No se especifica 
Emilia Dides;2024;Miss Universo;25;"1.77";Cantante. modelo e influencer;Soltera;No;Vitacura;Metropolitana;Urbana;Alto;Muy Alto;San Esteban de Diácono;Particular pagado
Gabriela Pulgar;2011;Miss Mundo;36;"1.75";Cantante. modelo. vocal coach y compositora;Soltera;No;Viña del Mar;Valparaiso;Urbana;Medio;Alto;No se especifica ;No se especifica 
Inna Moll;2017;Miss Universo;28;"1.75";Modelo. influencer;Soltera;No;Vitacura;Metropolitana;Urbana;Alto;Muy Alto;No se especifica ;No se especifica 
Isabel Bawlitza;2000;Miss Mundo;24;"1.74";Modelo;Soltera;No;Linares;Maule;Urbana;Medio;Medio-bajo;No se especifica ;No se especifica 
Kenita Larraín;2003;Miss Chile;29;"1.7";Modelo e ingeniera comercial;Soltera;No;Las Condes;Metropolitana;Urbana;Alto;Muy Alto;No se especifica ;No se especifica 
Marcela Vacarezza;1992;Miss Universo;22;"1.72";Estudiante de psicologia;Soltera;No;Vitacura;Metropolitana;Urbana;Alto;Muy Alto;No se especifica ;No se especifica 
Nataly Chilet;2008;Miss Mundo;23;"1.73";Modelo;Soltera;No;Santiago;Metropolitana;Urbana;Medio-Alto;Alto;No se especifica ;No se especifica 
Paulina Nin de Cardona;1980;Miss Universo;20;"1.68";Modelo;Soltera;No;Providencia;Metropolitana;Urbana;Medio-Alto;Muy Alto;No se especifica ;No se especifica 
Raquel Argandoña;1975;Miss Universo;18;"1.7";Modelo;Soltera;No;Recoleta;Metropolitana;Urbana;Medio;Medio-bajo;No se especifica ;No se especifica 
Renata Ruiz;2005;Miss Universo;19;"1.78";Modelo;Soltera;No;Vitacura;Metropolitana;Urbana;Alto;Muy Alto;No se especifica ;No se especifica 
Savka Pollak;1993;Miss Universo;20;"1.7";Estudiante de periodismo;Soltera;No;Las Condes;Metropolitana;Urbana;Alto;Muy Alto;No se especifica ;No se especifica 
Tonka Tomicic;1995;Miss Mundo;19;"1.74";Modelo;Soltera;No;La Florida;Metropolitana;Urbana;Medio;Alto;No se especifica ;No se especifica 
Verónica Roberts;2004;Miss Mundo;23;"1.73";Modelo;Soltera;No;Santiago;Metropolitana;Urbana;Medio-Alto;Medio-Alto;No se especifica ;No se especifica 
