Nombre,Anio,Certamen,Categoria,Detalle_M,Cat_TV,Detalle_TV,Vinculos,Decada
Uranía Haltenhoff,1990,Miss Universo Chile,Profesional,Modelo de alta costura antes del certamen.,Sin trayectoria,No disponible,Profesional,1990s
Cecilia Alfaro,1991,Miss Universo Chile,Amateur,Reinados locales previos.,Sin trayectoria,No disponible,Ninguno,1990s
Marcela Vacarezza,1992,Miss Universo Chile,Sin experiencia,No disponible,Sin trayectoria,"Hermana de actriz, pero ella no trabajaba en TV aún.",Familiar,1990s
Savka Pollak,1993,Miss Universo Chile,Profesional,Modelo publicitaria desde los 15 años.,Sin trayectoria,No disponible,Profesional,1990s
Constanza Barbieri,1994,Miss Universo Chile,Amateur,modelaje en comerciales,Sin trayectoria,No disponible,Ninguno,1990s
Paola Falcone,1995,Miss Universo Chile,Profesional,Modelo de pasarela,Sin trayectoria,No disponible,Profesional,1990s
Andrea L'Huillier,1996,Miss Universo Chile,Profesional,Modelo profesional de agencias.,Sin trayectoria,No disponible,Profesional,1990s
Claudia Delpín,1997,Miss Universo Chile,Amateur,Certámenes de belleza menores.,Sin trayectoria,No disponible,Ninguno,1990s
Claudia Arnello,1998,Miss Universo Chile,Profesional,Trabajaba como modelo antes de ganar.,Sin trayectoria,No disponible,Profesional,1990s
Andrea Muñoz,1999,Miss Universo Chile,Amateur,Modelaje publicitario local.,Sin trayectoria,No disponible,Ninguno,1990s
Francesca Sovino,2000,Miss Universo Chile,Amateur,Concursos regionales.,Sin trayectoria,No disponible,Ninguno,2000s
Carolina Gámez,2001,Miss Universo Chile,Amateur,Modelaje para catálogos.,Sin trayectoria,No disponible,Ninguno,2000s
Nicole Rencoret,2002,Miss Universo Chile,Amateur,Eventos de moda locales.,Sin trayectoria,No disponible,Ninguno,2000s
Gabriela Barros,2004,Miss Universo Chile,Profesional,Era modelo en Italia antes de concursar en Chile.,Sin trayectoria,No disponible,Profesional,2000s
Renata Ruiz,2005,Miss Universo Chile,Profesional,Ganadora Elite Model Look Chile 2001.,Sin trayectoria,No disponible,Profesional,2000s
Belén Montilla,2006,Miss Universo Chile,Amateur,Reinas de belleza regionales.,Sin trayectoria,No disponible,Ninguno,2000s
Vanessa Ceruti,2011,Miss Universo Chile,Profesional,Ganadora Elite Model Look 2004 (7 años antes).,Sin trayectoria,No disponible,Profesional,2010s
Ana König,2012,Miss Universo Chile,Profesional,Modelo de pasarela profesional (Elite).,Sin trayectoria,No disponible,Profesional,2010s
María Jesús Matthei,2013,Miss Universo Chile,Profesional,Modelo profesional en Europa y Chile.,Con trayectoria,"Participó en el programa ""Proyecto Miss Chile"".",Profesional,2010s
Hellen Toncio,2014,Miss Universo Chile,Amateur,Desfiles en la región de O'Higgins.,Sin trayectoria,No disponible,Ninguno,2010s
Belén Jerez,2015,Miss Universo Chile,Profesional,Modelo de agencias.,Sin trayectoria,No disponible,Profesional,2010s
Catalina Cáceres,2016,Miss Universo Chile,Profesional,Miss Tierra Chile 2014.,Sin trayectoria,No disponible,Profesional,2010s
Natividad Leiva,2017,Miss Universo Chile,Profesional,Miss Tierra Chile 2015.,Sin trayectoria,No disponible,Profesional,2010s
Andrea Díaz,2018,Miss Universo Chile,Profesional,Modelo profesional en Venezuela y Panamá.,Con trayectoria,Periodista y rostro en medios venezolanos.,Profesional,2010s
Geraldine González,2019,Miss Universo Chile,Profesional,Modelo de pasarela,Sin trayectoria,No disponible,Profesional,2010s
Daniela Nicolás,2020,Miss Universo Chile,Sin experiencia,No disponible,Con trayectoria,"Ya era actriz de teleseries (Mamá Mechona, etc).",Profesional,2020s
Antonia Figueroa,2021,Miss Universo Chile,Profesional,Miss Mundo Chile 2016.,Con trayectoria,Participante de MasterChef Chile (2019).,Profesional,2020s
Sofía Depassier,2022,Miss Universo Chile,Profesional,Modelo en agencias de Miami.,Sin trayectoria,No disponible,Profesional,2020s
Celeste Viel,2023,Miss Universo Chile,Profesional,Modelo profesional en Miami.,Sin trayectoria,No disponible,Familiar,2020s
Emilia Dides,2024,Miss Universo Chile,Sin experiencia,No disponible,Con trayectoria,"Ganadora de ""Rojo"" (2018).",Profesional,2020s
Ignacia Moll,2025,Miss Universo Chile,Profesional,Modelo publicitaria e influencer de marcas.,Sin trayectoria,No disponible,Profesional,2020s
