Nombre,Año,Certamen,Resultado obtenido,Trayectoria post certamen,Detalle de trayectoria,Permanencia en medios,Participación en TV,Desarrollo profesional,Presencia digital
Uranía Haltenhoff,1990,Miss Universo Chile,Top 6,Televisión,Conductora y penalista ,Alta,Si,Comunicaciones y medios,Moderada
Cecilia Alfaro,1991,Miss Universo Chile,Sin clasificación,Vida privada,Sin trayectoria mediática,Baja,No,Vida privada,Baja
Marcela Vacarezza,1992,Miss Universo Chile,Sin clasificación,Televisión,Animadora de Televisión,Alta,Si,Comunicaciones y televisión,Moderada
Savka Pollak,1993,Miss Universo Chile,Sin clasificación,Televisión,Conductora y penalista ,Alta,Si,Medios de comunicación,Moderada
Constanza Barbieri,1994,Miss Universo Chile,Sin clasificación,Modelaje,Defiles y eventos ,Media,No,Moda y modelaje,Baja
Paola Falcone,1995,Miss Universo Chile,Sin clasificación,Televisión,Participación en medios ,Media,Si,Comunicaciones,Baja
Andrea L'Huillier,1996,Miss Universo Chile,Sin clasificación,Vida privada,Baja exposición pública,Baja,No,Vida privada,Baja
Claudia Delpín,1997,Miss Universo Chile,Sin clasificación,Vida privada,Sin trayectoria mediática,Baja,No,Vida privada,Baja
Claudia Arnello,1998,Miss Universo Chile,Sin clasificación,Modelaje,Desfile y más concursos ,Media,No,Moda y modelaje,Baja
Andrea Muñoz,1999,Miss Universo Chile,Sin clasificación,Televisión,Participación en medios ,Media,Si,Medios,Baja
Francesca Sovino,2000,Miss Universo Chile,Sin clasificación,Modelaje,Trayectoria ligada al modelaje ,Media,No,Moda  ,Baja
Carolina Gámez,2001,Miss Universo Chile,Sin clasificación,Vida privada,Sin trayectoria mediática,Baja,No,Vida privada,Baja
Nicole Rencoret,2002,Miss Universo Chile,Sin clasificación,Modelaje,Desfile y más concursos ,Media,No,Modelaje,Baja
Gabriela Barros,2004,Miss Universo Chile,Top 15,Vida privada,Sin trayectoria mediática,Baja,No,Vida privada,Baja
Renata Ruiz,2005,Miss Universo Chile,Sin clasificación,TV/modelaje,Figura televisiva y modelo,Alta,Si,Moda y televisión,Moderada
Belén Montilla,2006,Miss Universo Chile,Sin clasificación,Modelaje,Desfile y más concursos ,Media,No,Modelaje,Baja
Vanessa Ceruti,2011,Miss Universo Chile,Sin clasificación,Modelaje,Desfile y eventos de moda,Media,No,Moda y modelaje,Moderada
Ana König,2012,Miss Universo Chile,Sin clasificación,Televisión,Participación en medios ,Media,Si,Comunicaciones,Baja
María Jesús Matthei,2013,Miss Universo Chile,Sin clasificación,Empresarial,Empresaria ,Media,No,Área empresarial,Baja
Hellen Toncio,2014,Miss Universo Chile,Sin clasificación,Modelaje,Trayectoria ligada al modelaje ,Media,No,Moda,Baja
Belén Jerez,2015,Miss Universo Chile,Sin clasificación,Modelaje,Desfile y más concursos ,Media,No,Modelaje,Baja
Catalina Cáceres,2016,Miss Universo Chile,Sin clasificación,Vida privada,Sin trayectoria mediática,Baja,No,Vida privada,Baja
Natividad Leiva,2017,Miss Universo Chile,Sin clasificación,Modelaje,Modelo y representante internacional,Media,No,Moda y modelaje,Moderada
Andrea Díaz,2018,Miss Universo Chile,Top 20,Influencer/modelaje,Presencia en redes sociales ,Media,No,Moda y redes sociales,Alta
Geraldine González,2019,Miss Universo Chile,Sin clasificación,Modelaje,Desfiles ,Media,No,Moda,Baja
Daniela Nicolás,2020,Miss Universo Chile,Top 21,Actuación/Televisión ,Actriz de TV y figura mediática ,Alta,Si,Actuación y televisión,Alta
Antonia Figueroa,2021,Miss Universo Chile,Top 16,Influencer/modelaje,Creación de contenido ,Media,No,Moda y redes sociales,Alta
Sofía Depassier,2022,Miss Universo Chile,Sin clasificación,Modelaje,Modelo y participación en certámenes,Media,No,Moda y modelaje,Moderada
Celeste Viel,2023,Miss Universo Chile,Sin clasificación,Influencer/modelaje,"Modelo, influencer y creadora de contenido",Alta,Si,Moda y redes sociales,Alta
Emilia Dides,2024,Miss Universo Chile,Top 12 ,Influencer/Televisión,Cantante y figura televisiva,Alta,Si,Música y televisión,Alta
Ignacia Moll,2025,Miss Universo Chile,Ganadora ,Influencer/modelaje,Presencia digital y modelaje,Media,No,Moda y redes sociales,Alta
