Nombre;Año de concurso;Certamen;Comuna de crianza;Región;Edad al competir;Estatura;Ocupación al postular;Estado Civil al postular;Maternidad al postular;Rural o Urbana;Nivel socioeconómico región predominante;IDH comunal
Uranía Haltenhoff Nikiforos;1990;Miss Universo Chile;Tocopilla;Antofagasta;23;;Modelo;Soltera;No;Urbana;;Medio Alto
Cecilia Alfaro Navarrete;1991;Miss Universo Chile;Santiago;Metropolitana;23;1,83;Sin información;Soltera;No;Urbana;Medio-Alto;Medio-Alto
Marcela Vacarezza Etcheverry;1992;Miss Universo Chile;Vitacura;Metropolitana;22;1,72;Estudiante de psicología;Soltera;No;Urbana;Alto;Muy Alto
Savka Pollak Tomasevich;1993;Miss Universo Chile;Vitacura;Metropolitana;19;1,78;Estudiante de periodismo;Soltera;No;Urbana;Alto;Muy Alto
Constanza Barbieri Sanz;1994;Miss Universo Chile;Vitacura;Metropolitana;21;1,72;Estudiante de diseño de vestuario;Soltera;No;Urbana;Alto;Muy Alto
Paola Falcone Bacigalupo;1995;Miss Universo Chile;Santiago;Metropolitana;22;Sin información;Modelo;Soltera;No;Urbana;Medio-Alto;Medio-Alto
Andrea L'Huillier Troncoso;1996;Miss Universo Chile;Sin información;Metropolitana;19;1,7;Modelo;Soltera;No;Urbana;Sin información;Sin información
Claudia Delpín Corssen;1997;Miss Universo Chile;Sin información;Tarapacá;23;Sin información;Relacionadora pública;Soltera;No;Urbana;Medio-Alto;Sin información
Claudia Arnello Reynolds;1998;Miss Universo Chile;Sin información;Magallanes;22;1,8;Auxiliar de vuelo;Soltera;No;Urbana;Medio-Bajo;Sin información
Andrea Muñoz Sessarego;1999;Miss Universo Chile;Sin información;Metropolitana;Sin información;Sin información;Arquitecta;Sin información;Sin información;Sin información;Sin información;Sin información
Francesca Sovino Parra;2000;Miss Universo Chile;Quillota;Valparaíso;21;1,69;Estudiante de comunicación escénica;Soltera;No;Urbana;Medio-Bajo;Medio Alto
Carolina Gámez Gallardo;2001;Miss Universo Chile;Santiago;Metropolitana;20;1,75;Bailarina y contadora;Soltera;No;Urbana;Medio-Alto;Medio-Alto
Nicole Rencoret Ladrón de Guevara;2002;Miss Universo Chile;Sin información;Metropolitana;26;1,78;Sin información;Soltera;No;Urbana;Sin información;Sin información
Gabriela Barros Tapia;2004;Miss Universo Chile;Valparaíso;Valparaíso;24;1,78;Modelo;Soltera;No;Urbana;Medio;Alto
Renata Ruiz Pérez;2005;Miss Universo Chile;Vitacura;Metropolitana;19;1,78;Modelo;Soltera;No;Urbana;Alto;Muy Alto
Belén Montilla Torreblanca;2006;Miss Universo Chile;Santiago;Metropolitana;18;1,78;Sin información;Soltera;No;Urbana;Medio-Alto;Medio-Alto
Vanessa Ceruti Vásquez;2011;Miss Universo Chile;Santiago;Metropolitana;25;1,78;Actriz y modelo;Soltera;No;Urbana;Medio-Alto;Medio-Alto
Ana König Browne;2012;Miss Universo Chile;Santiago;Metropolitana;22;1,78;Sin información;Soltera;No;Urbana;Medio-Alto;Medio-Alto
María Jesús Matthei Molina;2013;Miss Universo Chile;Santiago;Metropolitana;21;1,8;Modelo;Soltera;No;Urbana;Medio-Alto;Medio-Alto
Hellen Toncio Salazar;2014;Miss Universo Chile;Rancagua;O'Higgins;20;1,73;Sin información;Soltera;No;Urbana;Medio-Bajo;Medio-Alto
Belén Jerez Spuler;2015;Miss Universo Chile;Viña del mar;Valparaíso;26;1,78;Odontologa;Soltera;No;Urbana;Medio;Alto
Catalina Cáceres Ríos;2016;Miss Universo Chile;Huechuraba;Metropolitana;26;1,75;Modelo;Soltera;No;Urbana;Medio-Alto;Alto
Natividad Leiva Bello;2017;Miss Universo Chile;Santiago;Metropolitana;25;1,8;Modelo;Sin infromación;Sin información;Urbana;Medio-Alto;Medio-Alto
Andrea Díaz Nicolás;2018;Miss Universo Chile;Santiago;Metropolitana;27;1,75;Modelo y periodista;Sin información;Sin información;Urbana;Medio-Alto;Medio-Alto
Geraldine González Martínez;2019;Miss Universo Chile;Conchalí;Metropolitana;20;1,75;Modelo y estudiante de periodismo;Soltera;No;Urbana;Medio-Alto;Medio-Bajo
Daniela Nicolás Gómez;2020;Miss Universo Chile;Copiapó;Atacama;28;1,7;Estudiante de periodismo;Soltera;No;Urbana;Bajo;Medio-Alto
Antonia Figueroa Alvarado;2021;Miss Universo Chile;Coquimbo;Coquimbo;26;1,78;Estudiante de ingenería civil;Soltera;No;Urbana;Medio-Bajo;Medio-Alto
Sofía Depassier Sepúlveda;2022;Miss Universo Chile;Santiago;Comunidad extranjera;24;1,74;Modelo, esteticista y actriz;Soltera;No;Urbana;Alto (desigual);Sin información
Celeste Viel Caballero;2023;Miss Universo Chile;Miami, florida;Comunidad extranjera;23;1,73;Estudiante de relaciones públicas;Soltera;No;Urbana;Alto (desigual);Sin información
Emilia Dides Maffei;2024;Miss Universo Chile;Vitacura;Metropolitana;25;1,78;Cantante, modelo e influencer;Soltera;No;Urbana;Ato;Muy alto
Ignacia Moll Bilbao;2025;Miss Universo Chile;Vitacura;Metropolitana;28;1,75;Modelo, influencer;Soltera;No;Urbana;Alto;Muy Alto
