Año,Nombre,Certamen,Edad al concursar,Comuna,Región,IDH-Comunal,Nivel-Estudios,Medios-Postcertamen
1952,María Esther Saavedra,Miss Universo,23,Santiago,Metropolitana,Muy Alto,Sin información,Sí
1954,Gloria Leguisos,Miss Universo,21,Santiago,Metropolitana,Muy Alto,Sin información,No
1955,Rosa Katrina Merello,Miss Universo,18,Santiago,Metropolitana,Muy Alto,Sin información,No
1956,Concepción Obach,Miss Universo,20,Santiago,Metropolitana,Muy Alto,Sin información,Sí
1958,Raquél Molina,Miss Universo,22,Quilpué,Valparaíso,Alto,Sin información,No
1960,Marinka Polhammer,Miss Universo,21,Santiago,Metropolitana,Muy Alto,Sin información,No
1961,María Gloria Silva,Miss Universo,19,Santiago,Metropolitana,Muy Alto,Sin información,No
1964,Patricia Herrera,Miss Universo,20,Viña del Mar,Valparaíso,Muy Alto,Sin información,No
1966,Stella Schnack,Miss Universo,18,Santiago,Metropolitana,Muy Alto,Sin información,No
1967,Daniela Goldberg,Miss Universo,19,Santiago,Metropolitana,Muy Alto,Sin información,No
1968,Mónica Alvarado,Miss Universo,18,Santiago,Metropolitana,Muy Alto,Sin información,No
1969,Mónica Larson,Miss Universo,20,Santiago,Metropolitana,Muy Alto,Sin información,No
1970,Soledad Errázuriz,Miss Universo,19,Santiago,Metropolitana,Muy Alto,Sin información,No
1972,Consuelo Fernández,Miss Universo,19,Santiago,Metropolitana,Muy Alto,Sin información,No
1973,Jeannette Grousset,Miss Universo,20,Santiago,Metropolitana,Muy Alto,Sin información,No
1974,Rebeca González,Miss Universo,19,Santiago,Metropolitana,Muy Alto,Sin información,No
1975,Raquel Argandoña,Miss Universo,17,Recoleta,Metropolitana,Alto,Educación Media,Sí
1976,Verónica Sommers,Miss Universo,21,Valdivia,Los Ríos,Alto,Estudiante Universitaria,No
1977,Priscilla Pulido,Miss Universo,21,Santiago,Metropolitana,Muy Alto,Sin información,No
1978,Marianne Müller,Miss Universo,18,Santiago,Metropolitana,Muy Alto,Sin información,No
1979,María Alicia Jaime,Miss Universo,19,Santiago,Metropolitana,Muy Alto,Sin información,No
1980,Gabriela Zambrano,Miss Universo,22,Santiago,Metropolitana,Muy Alto,Sin información,Sí
1981,Soledad Hurtado,Miss Universo,19,Viña del Mar,Valparaíso,Muy Alto,Sin información,No
1982,Jenny Purto,Miss Universo,20,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,Sí
1983,María Josefa Isensee,Miss Universo,21,Santiago,Metropolitana,Muy Alto,Educación Media,Sí
1984,Carol Brecas,Miss Universo,20,Santiago,Metropolitana,Muy Alto,Sin información,No
1985,Claudia van Sint Jan,Miss Universo,19,San Fernando,O'Higgins,Alto,Sin información,No
1986,Mariana Villasante,Miss Universo,21,Santiago,Metropolitana,Muy Alto,Sin información,No
1987,Cecilia Bolocco,Miss Universo,22,Las Condes,Metropolitana,Muy Alto,Estudiante Universitaria,Sí
1988,Veronica Romero,Miss Universo,21,Viña del Mar,Valparaíso,Muy Alto,Sin información,No
1989,Macarena Mina,Miss Universo,20,Las Condes,Metropolitana,Muy Alto,Sin información,Sí
1990,Uranía Haltenhoff,Miss Universo,22,Antofagasta,Antofagasta,Muy Alto,Profesional Titulada,Sí
1991,Cecilia Alfaro,Miss Universo,19,Temuco,Araucanía,Alto,Estudiante Universitaria,No
1992,Marcela Vacarezza,Miss Universo,22,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,Sí
1993,Savka Pollak,Miss Universo,19,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,Sí
1994,Constanza Barbieri,Miss Universo,19,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,No
1995,Paola Falcone,Miss Universo,21,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,Sí
1996,Andrea L'Huillier,Miss Universo,22,Santiago,Metropolitana,Muy Alto,Sin información,Sí
1997,Claudia Delpín,Miss Universo,19,Iquique,Tarapacá,Alto,Sin información,No
1998,Claudia Faundez,Miss Universo,21,Santiago,Metropolitana,Muy Alto,Sin información,No
1999,Andrea Muñoz,Miss Universo,20,Santiago,Metropolitana,Muy Alto,Sin información,No
2000,Francesca Sovino,Miss Universo,21,Santiago,Metropolitana,Muy Alto,Sin información,No
2001,Carolina Gámez,Miss Universo,19,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,Sí
2002,Nicole Langelier,Miss Universo,21,Santiago,Metropolitana,Muy Alto,Sin información,No
2004,Gabriela Barros,Miss Universo,23,Viña del Mar,Valparaíso,Muy Alto,Educación Media,Sí
2005,Renata Ruiz,Miss Universo,21,Vitacura,Metropolitana,Muy Alto,Estudiante Universitaria,Sí
2006,Belén Montilla,Miss Universo,23,Santiago,Metropolitana,Muy Alto,Educación Media,Sí
2011,Vanessa Ceruti,Miss Universo,25,Santiago,Metropolitana,Muy Alto,Profesional Titulada,Sí
2012,Ana Luisa König,Miss Universo,22,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,Sí
2013,María Jesús Matthei,Miss Universo,21,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,Sí
2014,Hellen Toncio,Miss Universo,20,Rancagua,O'Higgins,Alto,Estudiante Universitaria,No
2015,María Belén Jerez,Miss Universo,25,Viña del Mar,Valparaíso,Muy Alto,Profesional Titulada,Sí
2016,Catalina Cáceres,Miss Universo,26,Santiago,Metropolitana,Muy Alto,Profesional Titulada,Sí
2017,Natividad Leiva,Miss Universo,25,Santiago,Metropolitana,Muy Alto,Profesional Titulada,Sí
2018,Andrea Díaz,Miss Universo,26,Santiago,Metropolitana,Muy Alto,Profesional Titulada,Sí
2019,Geraldine González,Miss Universo,19,Conchalí,Metropolitana,Alto,Estudiante Universitaria,Sí
2020,Daniela Nicolás,Miss Universo,28,Copiapó,Atacama,Alto,Profesional Titulada,Sí
2021,Antonia Figueroa,Miss Universo,26,Coquimbo,Coquimbo,Alto,Profesional Titulada,Sí
2022,Sofía Depassier,Miss Universo,24,Santiago,Metropolitana,Muy Alto,Educación Media,Sí
2023,Celeste Viel,Miss Universo,23,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,Sí
2024,Emilia Dides,Miss Universo,24,Vitacura,Metropolitana,Muy Alto,Educación Media,Sí
2025,Inna Moll,Miss Universo,28,Vitacura,Metropolitana,Muy Alto,Educación Media,Sí
2002,Nazhla Abad,Miss Earth,22,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,No
2003,Green Zamora,Miss Earth,23,Viña del Mar,Valparaíso,Muy Alto,Estudiante Universitaria,No
2004,Erika Niklitschek,Miss Earth,22,Osorno,Los Lagos,Alto,Sin información,No
2005,Nataly Chilet,Miss Earth,20,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,Sí
2006,Hil Hernández,Miss Earth,22,Castro,Los Lagos,Alto,Estudiante Universitaria,Sí
2010,Valeria Alonzo,Miss Earth,22,Santiago,Metropolitana,Muy Alto,Sin información,No
2011,Geraldine González,Miss Earth,19,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,No
2012,Camila Recabarren,Miss Earth,21,Copiapó,Atacama,Alto,Educación Media,Sí
2013,Natalia Lermanda,Miss Earth,22,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,Sí
2014,Catalina Cáceres,Miss Earth,24,Santiago,Metropolitana,Muy Alto,Profesional Titulada,Sí
2015,Natividad Leiva,Miss Earth,23,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,Sí
2016,Tiare Fuentes,Miss Earth,20,Puerto Varas,Los Lagos,Muy Alto,Estudiante Universitaria,No
2017,Sofía Sanhueza,Miss Earth,21,Temuco,Araucanía,Alto,Estudiante Universitaria,No
2018,Antonia Figueroa,Miss Earth,23,Coquimbo,Coquimbo,Alto,Estudiante Universitaria,Sí
2019,Fernanda Méndez,Miss Earth,27,Los Andes,Valparaíso,Alto,Profesional Titulada,No
2020,Macarena Quinteros,Miss Earth,22,Punta Arenas,Magallanes,Muy Alto,Estudiante Universitaria,No
2021,Romina Denecken,Miss Earth,20,Colina,Metropolitana,Alto,Estudiante Universitaria,Sí
2022,Daniela Riquelme,Miss Earth,22,Los Ángeles,Biobío,Alto,Profesional Titulada,No
2023,Jhosskaren Carrizo,Miss Earth,26,Iquique,Tarapacá,Alto,Profesional Titulada,No
2024,Janice Becerra,Miss Earth,22,Valdivia,Los Ríos,Alto,Estudiante Universitaria,No
2025,Monserrat Larrondo,Miss Earth,23,Valparaíso,Valparaíso,Alto,Estudiante Universitaria,No
1960,Marinka Polhammer,Miss Internacional,21,Santiago,Metropolitana,Muy Alto,Sin información,No
1965,Matilde von Kieffer,Miss Internacional,20,Santiago,Metropolitana,Muy Alto,Sin información,No
1970,Berta Goldsmith,Miss Internacional,19,Santiago,Metropolitana,Muy Alto,Sin información,No
1971,Alicia Vicuña,Miss Internacional,20,Santiago,Metropolitana,Muy Alto,Sin información,No
1974,María del Carmen Laza,Miss Internacional,19,Santiago,Metropolitana,Muy Alto,Sin información,No
1975,Ana María Papic,Miss Internacional,18,Santiago,Metropolitana,Muy Alto,Sin información,No
1976,Patricia Benavente,Miss Internacional,22,Valdivia,Los Ríos,Alto,Estudiante Universitaria,No
1977,Silvia Ebner,Miss Internacional,19,Santiago,Metropolitana,Muy Alto,Sin información,No
1978,Marianela Toledo,Miss Internacional,20,Santiago,Metropolitana,Muy Alto,Sin información,No
1979,Paulina Quiroga,Miss Internacional,19,Santiago,Metropolitana,Muy Alto,Sin información,No
1980,Mónica Salinas,Miss Internacional,19,Santiago,Metropolitana,Muy Alto,Sin información,No
1996,Luz Francisca Valenzuela,Miss Internacional,20,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,Sí
2001,Marisol Castro,Miss Internacional,21,Santiago,Metropolitana,Muy Alto,Sin información,No
2003,Christiane Balmelli,Miss Internacional,22,Temuco,Araucanía,Alto,Estudiante Universitaria,Sí
2004,Francisca Valenzuela,Miss Internacional,21,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,No
2007,Mary Ann Salas,Miss Internacional,24,Santiago,Metropolitana,Muy Alto,Profesional Titulada,Sí
2010,Tanya del Solar,Miss Internacional,24,Santiago,Metropolitana,Muy Alto,Profesional Titulada,No
2014,Tania Dahuabe,Miss Internacional,21,Cerrillos,Metropolitana,Alto,Estudiante Universitaria,No
2017,Estefanía Galeota,Miss Internacional,20,Coquimbo,Coquimbo,Alto,Estudiante Universitaria,Sí
2018,María Pía Vilches,Miss Internacional,22,Rengo,O'Higgins,Alto,Estudiante Universitaria,No
2019,Xamira Zuloaga,Miss Internacional,22,San Bernardo,Metropolitana,Alto,Estudiante Universitaria,No
2022,Catalina Huenulao,Miss Internacional,23,Temuco,Araucanía,Alto,Profesional Titulada,No
2023,Valerie Johnson,Miss Internacional,22,La Serena,Coquimbo,Alto,Estudiante Universitaria,No
2024,Beatriz Vásquez,Miss Internacional,24,Las Condes,Metropolitana,Muy Alto,Profesional Titulada,No
2025,Constanza Araos,Miss Internacional,23,Viña del Mar,Valparaíso,Muy Alto,Estudiante Universitaria,No
1963,María del Pilar Aguirre,Miss Mundo,19,Santiago,Metropolitana,Muy Alto,Sin información,No
1966,Elizabeth Subercaseaux,Miss Mundo,21,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,Sí
1967,Margarita Téllez,Miss Mundo,18,Santiago,Metropolitana,Muy Alto,Sin información,No
1968,Carmen Smith,Miss Mundo,19,Santiago,Metropolitana,Muy Alto,Sin información,No
1969,Ana María Nazar,Miss Mundo,22,Santiago,Metropolitana,Muy Alto,Sin información,No
1976,María Cristina Granzow,Miss Mundo,18,Santiago,Metropolitana,Muy Alto,Sin información,No
1977,Annie Marie Garling,Miss Mundo,19,Santiago,Metropolitana,Muy Alto,Sin información,No
1978,María Inés Miller,Miss Mundo,19,Santiago,Metropolitana,Muy Alto,Sin información,No
1979,Mariela Vergara,Miss Mundo,21,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,No
1981,Katerine Bravo,Miss Mundo,18,Santiago,Metropolitana,Muy Alto,Sin información,No
1982,Mariana Reinhardt,Miss Mundo,20,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,No
1983,Alejandra Quinteros,Miss Mundo,19,Santiago,Metropolitana,Muy Alto,Sin información,No
1984,María Soledad García,Miss Mundo,21,Santiago,Metropolitana,Muy Alto,Sin información,No
1985,Lydia Labarca,Miss Mundo,20,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,No
1986,Margor Fuenzalida,Miss Mundo,21,Santiago,Metropolitana,Muy Alto,Sin información,No
1987,Yasna Vukasovic,Miss Mundo,18,Punta Arenas,Magallanes,Muy Alto,Educación Media,Sí
1988,María Francisca Aldunate,Miss Mundo,22,Santiago,Metropolitana,Muy Alto,Sin información,Sí
1989,Claudia Bahamondes,Miss Mundo,18,Santiago,Metropolitana,Muy Alto,Sin información,No
1990,Isabel Cristina Yávar,Miss Mundo,18,Santiago,Metropolitana,Muy Alto,Sin información,No
1991,Carolina Michelson,Miss Mundo,23,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,No
1992,Paula Caballero,Miss Mundo,21,Santiago,Metropolitana,Muy Alto,Sin información,No
1993,Jessica Eterovic,Miss Mundo,20,Punta Arenas,Magallanes,Muy Alto,Estudiante Universitaria,No
1994,Yulissa Del Pino,Miss Mundo,18,Santiago,Metropolitana,Muy Alto,Educación Media,Sí
1995,Tonka Tomicic,Miss Mundo,19,La Florida,Metropolitana,Alto,Estudiante Universitaria,Sí
1996,Luz Francisca Valenzuela,Miss Mundo,20,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,Sí
1997,Paulina Muga,Miss Mundo,21,Concepción,Biobío,Muy Alto,Estudiante Universitaria,No
1998,Daniella Campos,Miss Mundo,22,Santiago,Metropolitana,Muy Alto,Educación Media,Sí
1999,Lissette Sierra,Miss Mundo,21,Arica,Arica y Parinacota,Alto,Estudiante Universitaria,Sí
2000,Isabel Bawlitza,Miss Mundo,19,Linares,del Maule,Alto,Educación Media,Sí
2001,Christianne Balmelli,Miss Mundo,20,Temuco,Araucanía,Alto,Estudiante Universitaria,Sí
2002,Daniela Casanova,Miss Mundo,22,Santiago,Metropolitana,Muy Alto,Sin información,No
2003,Alejandra Soler,Miss Mundo,23,La Serena,Coquimbo,Alto,Estudiante Universitaria,No
2004,Verónica Roberts,Miss Mundo,21,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,Sí
2006,Constanza Silva,Miss Mundo,21,Santiago,Metropolitana,Muy Alto,Sin información,Sí
